,Corn Price Forecast
0,3.3962149386553837
1,3.4083350867131177
2,3.4311929543264172
3,3.393819789108127
4,3.395764446906785
5,3.3750416402753003
6,3.3749696389442736
7,3.4080951960164354
8,3.3410709385864674
9,3.4252891354642654
10,3.420407768880504
11,3.382119539265619
12,3.347331476905432
13,3.365447867593848
14,3.3815622045802907
15,3.4608625826126866
16,3.4299670887559763
17,3.5345049343503643
18,3.5260662787768364
19,3.490857222149467
20,3.505700831196043
21,3.5136311298555496
22,3.501018760709224
23,3.567844284887828
24,3.579978541052735
25,3.6139357957538962
26,3.644653015543744
27,3.7345583177102366
28,3.702626422417003
29,3.6604260247176006
30,3.670892239627796
31,3.8020339558808627
32,3.6973142358063393
33,3.67022907982534
34,3.700020292630759
35,3.7072436568810314
36,3.833729522371315
37,3.8151669869992677
38,3.8631564286910995
39,3.895394187288452
40,3.9030578069436377
41,3.8589069984081936
42,3.8519383497191026
43,3.812650362759614
44,3.7596941644059685
45,3.7538968787806803
46,3.7304341809754593
47,3.755483339434598
48,3.8353637138481087
49,3.903168978888229
50,3.899938346358054
51,3.9267625933161487
52,3.9820252703208237
53,4.001625864543868
54,4.022444515018659
55,4.058231183960236
56,3.9622668493837434
57,4.018794166418468
58,4.029629370258133
59,4.135734342019435
60,4.088064243565802
61,4.004577435358861
62,3.9843848254250602
63,4.074322828770056
64,4.035622417136835
65,4.167267699781158
66,4.072159112078062
67,4.05253374601049
68,3.9761849175658814
69,3.9605436409400556
70,3.9618361963474515
71,4.047473198054479
72,4.1299385666055315
73,4.189013219513939
74,4.204810868956037
75,4.206440302020755
76,4.126698613201016
77,4.194961009395163
78,4.251523754681284
79,4.144397527059268
80,4.198820246304146
81,4.222392309081185
82,4.259986373019991
83,4.326132456741384
84,4.238234035742692
85,4.277082931494153
86,4.266278352093988
87,4.261972980171827
88,4.2520656849017495
89,4.347616880697978
