,Corn Price Forecast
0,3.456590136355342
1,3.4685454752555374
2,3.4598281718578305
3,3.426787140191174
4,3.4463655622991585
5,3.4063874259434446
6,3.4076853053007374
7,3.4356121807431097
8,3.3967155934780564
9,3.4733512917902063
10,3.473813010524872
11,3.4353629251040227
12,3.3920801092860864
13,3.356731625512781
14,3.4390021252606706
15,3.5099251103466473
16,3.4769992500349667
17,3.5753756632241274
18,3.5514685465994704
19,3.53856468360165
20,3.5506995884331225
21,3.5579556371346692
22,3.546281112308742
23,3.6152190867700336
24,3.631705571069938
25,3.6654748694570776
26,3.694669718065393
27,3.7695496378461026
28,3.756609247721313
29,3.687314689603774
30,3.7171171445615148
31,3.805584522217809
32,3.596680570780561
33,3.6619786397746728
34,3.7525803348556726
35,3.7500305370322486
36,3.876614315225762
37,3.8612504163132577
38,3.9068171590809664
39,3.935292990806898
40,3.9517407374324023
41,3.8986219374566424
42,3.887328467582572
43,3.854385842059094
44,3.8058127621667426
45,3.8032619426349363
46,3.756526051753662
47,3.7885568757813313
48,3.8973367957058143
49,3.9531838803741155
50,3.946622081135027
51,3.958128818652083
52,4.016800918222913
53,4.033891978569303
54,4.0420888916097875
55,4.089556274706803
56,3.9965630171423383
57,4.03381565278468
58,4.068407249481107
59,4.157382475727713
60,4.123164923458142
61,4.010375335687903
62,4.044848480145682
63,4.074281775645288
64,4.032295168314584
65,4.180736604383338
66,4.151286631479904
67,4.128520308217278
68,4.051337646936697
69,3.967572253937652
70,3.9919892558478285
71,4.088367543683647
72,4.155287748102143
73,4.198067009669941
74,4.231380098585906
75,4.233201088204719
76,4.155505370010493
77,4.220778830456949
78,4.228287864472535
79,4.1961079344237175
80,4.236444586864698
81,4.260575605330296
82,4.30871832530372
83,4.370749679695315
84,4.2988983511895125
85,4.320448850454985
86,4.294713252658569
87,4.3022736133292145
88,4.23391812981168
89,4.3780869323475
