Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,375.250000,377.750000,374.000000,375.750000,375.750000,104724
2019-01-03,375.500000,380.500000,374.750000,379.750000,379.750000,101460
2019-01-04,380.000000,383.500000,379.750000,383.000000,383.000000,178171
2019-01-06,null,null,null,null,null,null
2019-01-07,382.250000,384.000000,381.750000,382.250000,382.250000,110623
2019-01-08,382.500000,384.500000,379.000000,380.000000,380.000000,172291
2019-01-09,380.500000,383.500000,380.500000,382.000000,382.000000,192055
2019-01-10,381.500000,382.750000,376.000000,376.250000,376.250000,181392
2019-01-11,377.000000,379.250000,376.750000,378.250000,378.250000,131815
2019-01-13,null,null,null,null,null,null
2019-01-14,378.500000,381.000000,377.000000,378.500000,378.500000,144739
2019-01-15,379.500000,381.000000,371.000000,371.250000,371.250000,251255
2019-01-16,372.750000,375.000000,372.500000,374.000000,374.000000,164719
2019-01-17,374.000000,381.500000,373.750000,380.000000,380.000000,207625
2019-01-18,379.750000,383.000000,377.750000,381.750000,381.750000,191033
2019-01-20,null,null,null,null,null,null
2019-01-22,380.750000,382.250000,376.750000,379.000000,379.000000,211433
2019-01-23,379.500000,381.750000,378.000000,378.750000,378.750000,127605
2019-01-24,378.750000,379.750000,375.750000,377.000000,377.000000,124108
2019-01-25,377.000000,380.500000,376.000000,380.250000,380.250000,134094
2019-01-27,null,null,null,null,null,null
2019-01-28,379.500000,381.000000,378.000000,379.750000,379.750000,102144
2019-01-29,379.750000,380.750000,376.000000,377.250000,377.250000,187023
2019-01-30,377.750000,381.500000,377.500000,381.250000,381.250000,198900
2019-01-31,381.000000,381.500000,375.750000,376.500000,376.500000,205750
2019-02-01,376.500000,380.750000,376.500000,378.250000,378.250000,151472
2019-02-03,null,null,null,null,null,null
2019-02-04,377.750000,379.750000,376.500000,379.250000,379.250000,145834
2019-02-05,379.500000,381.250000,377.000000,380.750000,380.750000,171954
2019-02-06,380.500000,380.750000,379.000000,380.000000,380.000000,145154
2019-02-07,379.750000,380.250000,376.250000,376.500000,376.500000,259742
2019-02-08,376.500000,381.750000,374.000000,374.250000,374.250000,340779
2019-02-10,null,null,null,null,null,null
2019-02-11,374.500000,375.000000,371.750000,372.750000,372.750000,309359
2019-02-12,373.500000,378.750000,373.000000,378.250000,378.250000,291257
2019-02-13,377.500000,379.000000,376.250000,378.750000,378.750000,243883
2019-02-14,378.750000,379.000000,374.000000,374.750000,374.750000,225289
2019-02-15,374.750000,376.500000,373.000000,374.750000,374.750000,209096
2019-02-17,null,null,null,null,null,null
2019-02-19,374.250000,376.250000,369.000000,369.750000,369.750000,230708
2019-02-20,371.500000,373.500000,368.500000,370.750000,370.750000,310666
2019-02-21,371.000000,378.500000,370.500000,375.500000,375.500000,257188
2019-02-22,374.750000,377.750000,374.500000,375.250000,375.250000,316659
2019-02-24,null,null,null,null,null,null
2019-02-25,377.750000,378.500000,370.000000,370.500000,370.500000,344712
2019-02-26,370.750000,371.250000,365.500000,366.250000,366.250000,242769
