,Corn Price Forecast
0,3.4769948858511457
1,3.4807056982403672
2,3.5008613219581397
3,3.4916891189432926
4,3.471224218741265
5,3.579199851230654
6,3.597262354888228
7,3.5663225301156256
8,3.4765442023856505
9,3.531936671970224
10,3.542584497434101
11,3.5219578677102756
12,3.424557490442017
13,3.5165515887416388
14,3.4666066837839598
15,3.513400037014807
16,3.5748953227101397
17,3.5816072823332514
18,3.547134316516867
19,3.5751372846847707
20,3.6101163294197582
21,3.571415420256736
22,3.5959422723451855
23,3.664317340441932
24,3.610875160375429
25,3.582377396923339
26,3.595307878039131
27,3.5628454644941714
28,3.6666999411720202
29,3.614269321482676
30,3.663098065530676
31,3.724463550335673
32,3.724435072687683
33,3.824246607902937
34,3.786338776269246
35,3.6930265437572296
36,3.8140869967436704
37,3.8877286707395706
38,3.8904834395309353
39,3.856290746293072
40,3.8348125619658355
41,3.8759806902438894
42,3.775453885289314
43,3.743829314764346
44,3.8081475506552525
45,3.8109614145921613
46,3.7569732479662834
47,3.7697076962479406
48,3.7694126488204054
49,3.7696576144195157
50,3.7949756765801714
51,3.8607112794371985
52,3.7752333683972394
53,3.7324850170163724
54,3.7635526225522433
55,3.7823839038973572
56,3.7833894184138255
57,3.748366130236838
58,3.842593721866065
59,3.777700326756148
60,3.758188829491643
61,3.7247407749231565
62,3.648412386342148
63,3.6550241640569503
64,3.6338196508921143
65,3.6421317964505455
66,3.6833161345499312
67,3.6584679438899963
68,3.654755975897247
69,3.6095121743531076
70,3.728018097351709
71,3.706419946554054
72,3.6966161778349065
73,3.7733982362168
74,3.771673672397703
75,3.768355193820975
76,3.869052361797653
77,3.772906694882329
78,3.8049947399448643
79,3.834437593004213
80,3.8339100468775777
81,3.8478227477613602
82,3.8921308263667225
83,3.91422554637267
84,3.8962501962968377
85,3.8778403033632913
86,3.8431353998901
87,3.8690536834389504
88,3.8223749229085744
89,3.7915016678402154
